Product,Supplier,Supplier Country,Supplier City,Lead Time (Weeks),Mean Weekly Demand,Total_Sales,Safety Stock (SS),SS (round unit up),SS (CBM),SS (KG),Reorder Point (RP=s),RP (round unit up),RP (CBM),RP (KG),Order-Up-To Level (S),S (round unit up),S (CBM),S (KG),CBM/Orderlines,Kg/Orderlines
A-001,S-CN-001,China,Dongguan,5.857142857,0.423076923,33,0.726923077,1,0.575874746,176.460618,3.204945055,4,2.303498983,705.8424718,5.682967033,6,3.455248475,1058.763708,0.575874746,176.460618
A-002,S-CN-001,China,Dongguan,5.857142857,12.79487179,1070,25.50512821,26,3.38042046,589.1298342,100.4465201,101,13.13163333,2288.542818,175.3879121,176,22.88284619,3987.955801,0.130016172,22.65883978
A-003,S-CN-002,China,Shenzhen,5.857142857,8.705128205,683,18.44487179,19,3.022784758,222.5512827,69.43205128,70,11.13657542,819.9257785,120.4192308,121,19.25036609,1417.300274,0.159093935,11.71322541
A-004,S-DE-001,Germany,Mainz,12.71428571,566.0769231,44194,142.1230769,143,0.759797757,235.2548962,7339.386813,7340,38.99940932,12075.32125,14536.65055,14537,77.23902089,23915.38759,0.005313271,1.645139134
A-005,S-CN-003,China,Changzhou,5.857142857,323.0769231,25159,184.8730769,185,19.17166878,3416.530942,2077.180769,2078,215.3444742,38375.95296,3969.488462,3970,411.413649,73316.90725,0.103630642,18.46773482
A-006,S-CN-003,China,Changzhou,5.857142857,289.2692308,22512,160.7807692,161,13.38473163,1627.714134,1855.071978,1856,154.2985212,18764.20765,3549.363187,3550,295.1291758,35890.59115,0.083134979,10.11002568
A-007,S-CN-003,China,Changzhou,5.857142857,5.448717949,426,7.701282051,8,1.272851286,338.0134784,39.61520147,40,6.364256428,1690.067392,71.52912088,72,11.45566157,3042.121305,0.159106411,42.25168479
A-008,S-MY-001,Malaysia,Penang,6.857142857,394.8653846,30850,241.8846154,242,1.850424342,112.2807382,2949.532967,2950,22.55682565,1368.711478,5657.181319,5658,43.26322696,2625.142218,0.007646382,0.463969993
A-009,S-MY-001,Malaysia,Penang,6.857142857,322.5384615,25157,216.9615385,217,3.298945073,776.0501189,2428.653846,2429,36.9269013,8686.754557,4640.346154,4641,70.55485754,16597.45899,0.015202512,3.576267829
A-010,S-MY-001,Malaysia,Penang,6.857142857,3.256410256,256,3.893589744,4,0.741537756,148.5882121,26.22326007,27,5.005379851,1002.970432,48.5529304,49,9.083837508,1820.205599,0.185384439,37.14705303
A-011,S-MY-001,Malaysia,Penang,6.857142857,4.346153846,338,5.653846154,6,0.021839546,10.2842607,35.45604396,36,0.131037276,61.70556418,65.25824176,66,0.240235006,113.1268677,0.003639924,1.714043449
A-012,S-DE-002,Germany,Stuttgart,12.71428571,9160.262821,714336,2530.337179,2531,7.062081874,2337.291244,118996.5359,118997,332.0294574,109889.6271,235462.7346,235463,656.9968329,217441.9629,0.002790234,0.923465525
A-013,S-DE-002,Germany,Stuttgart,12.71428571,108.2371795,8429,74.51282051,75,16.72999649,1622.67156,1450.671245,1451,323.6696654,31393.28578,2826.82967,2827,630.6093344,61163.9,0.22306662,21.6356208
A-014,S-DE-002,Germany,Stuttgart,12.71428571,561.7628205,43894,562.3871795,563,65.24812088,9871.082567,7704.800183,7705,892.9605175,135091.8138,14847.21319,14848,1720.788808,260330.0781,0.115893643,17.53300634
A-015,S-DE-002,Germany,Stuttgart,12.71428571,64.89102564,5072,65.40897436,66,1.360999099,207.9818642,890.4520147,891,18.37348784,2807.755167,1715.495055,1716,35.38597658,5407.52847,0.020621198,3.151240367
A-016,S-DE-002,Germany,Stuttgart,12.71428571,158.0064103,12415,89.89358974,90,18.37462726,2530.521832,2098.832234,2099,428.5371401,59017.39251,4107.770879,4108,838.6996529,115504.2632,0.204162525,28.11690925
A-017,S-DE-002,Germany,Stuttgart,12.71428571,15.42307692,1212,23.17692308,24,0.211426712,77.18050934,219.2703297,220,1.938078197,707.4880023,415.3637363,416,3.664729682,1337.795495,0.008809446,3.215854556
A-018,S-DE-002,Germany,Stuttgart,12.71428571,0.179487179,15,0.820512821,1,0.005803089,2.439542775,3.102564103,4,0.023212357,9.758171098,5.384615385,6,0.034818536,14.63725665,0.005803089,2.439542775
A-019,S-MY-002,Malaysia,Kulim,6.857142857,448.2628205,35016,262.2871795,263,98.68005347,13292.43362,3336.089377,3337,1252.07353,168657.2281,6409.891575,6410,2405.091798,323971.4811,0.375209329,50.54157271
A-020,S-MY-002,Malaysia,Kulim,6.857142857,175.3782051,13712,124.7717949,125,9.119413743,1236.901262,1327.365201,1328,96.88465161,13140.83901,2529.958608,2530,184.5769342,25034.88154,0.07295531,9.895210095
A-021,S-MY-002,Malaysia,Kulim,6.857142857,66.96153846,5223,47.33846154,48,20.24627215,2436.895357,506.5032967,507,213.8512496,25739.70721,965.6681319,966,407.4562271,49042.51906,0.421797337,50.76865327
A-022,S-MY-002,Malaysia,Kulim,6.857142857,25.48717949,1992,31.51282051,32,7.142451524,774.242685,206.2820513,207,46.2027333,5008.382369,381.0512821,382,85.26301507,9242.522052,0.22320161,24.19508391
A-023,S-US-001,USA,San Diego,6.857142857,179.6217949,14016,111.4782051,112,6.705241094,1040.998213,1343.170513,1344,80.46289313,12491.97856,2574.862821,2575,154.1606769,23933.66428,0.059868224,9.294626906
A-024,S-US-001,USA,San Diego,6.857142857,1.987179487,167,5.912820513,6,0.042532227,3.961662202,19.53919414,20,0.141774091,13.20554067,33.16556777,34,0.241015955,22.44941915,0.007088705,0.660277034
A-025,S-US-001,USA,San Diego,6.857142857,2191.24359,170393,1521.40641,1522,20.93465814,6249.094231,16547.07674,16548,227.6128272,67943.50285,31572.74707,31573,434.2772415,129633.8056,0.013754703,4.105843779
A-026,S-US-001,USA,San Diego,6.857142857,0.166666667,13,0.833333333,1,0.050113135,4.802799538,1.976190476,2,0.100226271,9.605599077,3.119047619,4,0.200452542,19.21119815,0.050113135,4.802799538
A-027,S-DE-003,Germany,Darmstadt,12.71428571,1151.051282,89881,655.8987179,656,78.35658652,16297.61267,15290.69359,15291,1826.449031,379888.4074,29925.48846,29926,3574.541476,743479.2022,0.119446016,24.84392175
A-028,S-CN-004,China,Guangzhou,5.857142857,0.487179487,38,2.662820513,3,0.294214438,503.16897,5.516300366,6,0.588428875,1006.33794,8.36978022,9,0.882643313,1509.50691,0.098071479,167.72299
A-029,S-MY-002,Malaysia,Kulim,6.857142857,634.8333333,49745,542.6666667,543,108.8430594,19167.65623,4895.809524,4896,981.3915629,172826.602,9248.952381,9249,1853.940066,326485.5478,0.200447623,35.29955106
A-030,S-CN-003,China,Changzhou,5.857142857,19.23076923,1504,15.06923077,16,1.653150004,334.1082177,127.7065934,128,13.22520003,2672.865741,240.343956,241,24.90057193,5032.505029,0.103321875,20.88176361
A-031,S-CN-006,China,Hangzhou,5.857142857,26.41666667,2064,62.58333333,63,13.87129167,1397.938247,217.3095238,218,47.99907277,4837.310123,372.0357143,373,82.12685386,8276.682,0.220179233,22.18949598
A-032,S-DE-003,Germany,Darmstadt,12.71428571,112.3782051,8858,92.57179487,93,7.5877661,429.556044,1521.380403,1522,124.1782796,7029.938699,2950.189011,2951,240.7687931,13630.32135,0.081588883,4.618882194
A-033,S-DE-003,Germany,Darmstadt,12.71428571,10.60897436,826,16.54102564,17,3.97357525,464.49377,151.4265568,152,35.52843753,4153.120768,286.3120879,287,67.08329981,7841.747765,0.233739721,27.32316294
A-034,S-MY-001,Malaysia,Penang,6.857142857,2.833333333,221,3.316666667,4,5.23471E-05,0.009422477,22.7452381,23,0.000300996,0.054179244,42.17380952,43,0.000562731,0.10129163,1.30868E-05,0.002355619
A-035,S-CN-006,China,Hangzhou,5.857142857,3.891025641,316,7.008974359,8,1.418044044,65.15692481,29.7992674,30,5.317665165,244.338468,52.58956044,53,9.394541792,431.6646268,0.177255506,8.144615601
A-036,S-CN-006,China,Hangzhou,5.857142857,0.064102564,5,0.085897436,1,0.007852547,10.23647097,0.461355311,1,0.007852547,10.23647097,0.836813187,1,0.007852547,10.23647097,0.007852547,10.23647097
A-037,S-CN-005,China,Shenzhen,5.857142857,4.397435897,342,3.752564103,4,0.023560141,5.249525322,29.50897436,30,0.176701056,39.37143992,55.26538462,56,0.329841972,73.49335451,0.005890035,1.312381331
A-038,S-CN-005,China,Shenzhen,5.857142857,0.025641026,2,-0.025641026,-1,-5.809344531,-3032.561962,0.124542125,1,5.809344531,3032.561962,0.274725275,1,5.809344531,3032.561962,5.809344531,3032.561962
A-039,S-CN-006,China,Hangzhou,5.857142857,0.051282051,4,0.098717949,1,0.005639713,1.197920009,0.399084249,1,0.005639713,1.197920009,0.699450549,1,0.005639713,1.197920009,0.005639713,1.197920009
A-040,S-CN-006,China,Hangzhou,5.857142857,0.115384615,10,0.884615385,1,0.045397931,11.8601272,1.56043956,2,0.090795863,23.7202544,2.236263736,3,0.136193794,35.5803816,0.045397931,11.8601272
B-001,S-CN-009,China,Taicang,5.857142857,23.78205128,1864,16.71794872,17,0.3673362,63.41665301,156.0128205,157,3.392457849,585.6714425,295.3076923,296,6.395971487,1104.195841,0.021608012,3.730391354
B-002,S-CN-009,China,Taicang,5.857142857,104.3076923,8130,60.84230769,61,3.115003638,966.8723976,671.7873626,672,34.31610565,10651.44674,1282.732418,1283,65.51720766,20336.02108,0.051065633,15.85036717
B-003,S-US-002,USA,Sacramento,6.857142857,59.03205128,4606,37.01794872,38,2.697810668,2018.939761,441.8091575,442,31.37979777,23483.45722,846.6003663,847,60.13277989,45001.10468,0.070995018,53.12999372
