Product,Week No.,Weekly Sales,Total Sales,Average Weekly Demand,Standard Deviation
A-001,0,0,33,0.423076923,0.6745702
A-001,1,0,33,0.423076923,0.6745702
A-001,2,0,33,0.423076923,0.6745702
A-001,3,0,33,0.423076923,0.6745702
A-001,4,0,33,0.423076923,0.6745702
A-001,5,0,33,0.423076923,0.6745702
A-001,6,0,33,0.423076923,0.6745702
A-001,7,0,33,0.423076923,0.6745702
A-001,8,0,33,0.423076923,0.6745702
A-001,9,1,33,0.423076923,0.6745702
A-001,10,1,33,0.423076923,0.6745702
A-001,11,1,33,0.423076923,0.6745702
A-001,12,0,33,0.423076923,0.6745702
A-001,13,1,33,0.423076923,0.6745702
A-001,14,1,33,0.423076923,0.6745702
A-001,15,0,33,0.423076923,0.6745702
A-001,16,0,33,0.423076923,0.6745702
A-001,17,0,33,0.423076923,0.6745702
A-001,18,0,33,0.423076923,0.6745702
A-001,19,0,33,0.423076923,0.6745702
A-001,20,1,33,0.423076923,0.6745702
A-001,21,0,33,0.423076923,0.6745702
A-001,22,0,33,0.423076923,0.6745702
A-001,23,0,33,0.423076923,0.6745702
A-001,24,0,33,0.423076923,0.6745702
A-001,25,0,33,0.423076923,0.6745702
A-001,26,0,33,0.423076923,0.6745702
A-001,27,0,33,0.423076923,0.6745702
A-001,28,0,33,0.423076923,0.6745702
A-001,29,1,33,0.423076923,0.6745702
A-001,30,0,33,0.423076923,0.6745702
A-001,31,1,33,0.423076923,0.6745702
A-001,32,0,33,0.423076923,0.6745702
A-001,33,0,33,0.423076923,0.6745702
A-001,34,0,33,0.423076923,0.6745702
A-001,35,0,33,0.423076923,0.6745702
A-001,36,2,33,0.423076923,0.6745702
A-001,37,1,33,0.423076923,0.6745702
A-001,38,3,33,0.423076923,0.6745702
A-001,39,1,33,0.423076923,0.6745702
A-001,40,1,33,0.423076923,0.6745702
A-001,41,0,33,0.423076923,0.6745702
A-001,42,1,33,0.423076923,0.6745702
A-001,43,1,33,0.423076923,0.6745702
A-001,44,0,33,0.423076923,0.6745702
A-001,45,1,33,0.423076923,0.6745702
A-001,46,0,33,0.423076923,0.6745702
A-001,47,0,33,0.423076923,0.6745702
A-001,48,0,33,0.423076923,0.6745702
A-001,49,1,33,0.423076923,0.6745702
A-001,50,0,33,0.423076923,0.6745702
A-001,51,0,33,0.423076923,0.6745702
A-001,52,0,33,0.423076923,0.6745702
A-001,53,0,33,0.423076923,0.6745702
A-001,54,0,33,0.423076923,0.6745702
A-001,55,0,33,0.423076923,0.6745702
A-001,56,1,33,0.423076923,0.6745702
A-001,57,1,33,0.423076923,0.6745702
A-001,58,1,33,0.423076923,0.6745702
A-001,59,0,33,0.423076923,0.6745702
A-001,60,0,33,0.423076923,0.6745702
A-001,61,0,33,0.423076923,0.6745702
A-001,62,0,33,0.423076923,0.6745702
A-001,63,1,33,0.423076923,0.6745702
A-001,64,0,33,0.423076923,0.6745702
A-001,65,1,33,0.423076923,0.6745702
A-001,66,0,33,0.423076923,0.6745702
A-001,67,1,33,0.423076923,0.6745702
A-001,68,1,33,0.423076923,0.6745702
A-001,69,0,33,0.423076923,0.6745702
A-001,70,3,33,0.423076923,0.6745702
A-001,71,1,33,0.423076923,0.6745702
A-001,72,0,33,0.423076923,0.6745702
A-001,73,0,33,0.423076923,0.6745702
A-001,74,2,33,0.423076923,0.6745702
A-001,75,0,33,0.423076923,0.6745702
A-001,76,0,33,0.423076923,0.6745702
A-001,77,0,33,0.423076923,0.6745702
A-002,0,0,1070,13.71794872,67.45289794
A-002,1,0,1070,13.71794872,67.45289794
A-002,2,0,1070,13.71794872,67.45289794
A-002,3,0,1070,13.71794872,67.45289794
A-002,4,0,1070,13.71794872,67.45289794
