Supplier code,Supplier Country,City code,Mode,Cost,Cost unit,Lead Time,Lead Time unit
CN,China,MEL,FCL20,6746.41,Container,40,days
CN,China,MEL,FCL40,10925.46,Container,40,days
CN,China,MEL,LCL,242.68,cubic meter,32,days
CN,China,MEL,Air,11.79,kg of chargeable weight,10.08333333,days
DE,Germany,MEL,FCL20,8355.55,Container,88,days
DE,Germany,MEL,FCL40,13125.25,Container,88,days
DE,Germany,MEL,LCL,597.87,cubic meter,65,days
DE,Germany,MEL,Air,11.44,kg of chargeable weight,7.083333333,days
MY,Malaysia,MEL,FCL20,6319.87,Container,47,days
MY,Malaysia,MEL,FCL40,10197.5,Container,47,days
MY,Malaysia,MEL,LCL,333.72,cubic meter,35,days
MY,Malaysia,MEL,Air,12.13,kg of chargeable weight,7.083333333,days
US,USA,MEL,FCL20,10673.95,Container,47,days
US,USA,MEL,FCL40,15954.48,Container,47,days
US,USA,MEL,LCL,893.9,cubic meter,45,days
US,USA,MEL,Air,9.61,kg of chargeable weight,8.083333333,days
