Product,Supplier,Supplier City,Supplier Country,Initial Lead time,First lot ordered,CBM,KG,CBM/Orderlines,Kg/Orderlines
A-001,S-CN-001,Dongguan,China,5,0,0,0,0.575874746,176.460618
A-002,S-CN-001,Dongguan,China,5,0,0,0,0.130016172,22.65883978
A-003,S-CN-002,Shenzhen,China,5,68,10.81838755,796.4993277,0.159093935,11.71322541
A-005,S-CN-003,Changzhou,China,5,1676,173.6849561,30951.92356,0.103630642,18.46773482
A-006,S-CN-003,Changzhou,China,5,1373,114.1443263,13881.06525,0.083134979,10.11002568
A-007,S-CN-003,Changzhou,China,5,13,2.068383339,549.2719023,0.159106411,42.25168479
A-030,S-CN-003,Changzhou,China,5,166,17.15143129,3466.372758,0.103321875,20.88176361
A-028,S-CN-004,Guangzhou,China,5,3,0.294214438,503.16897,0.098071479,167.72299
A-037,S-CN-005,Shenzhen,China,5,22,0.129580775,28.87238927,0.005890035,1.312381331
A-038,S-CN-005,Shenzhen,China,5,0,0,0,5.809344531,3032.561962
A-031,S-CN-006,Hangzhou,China,5,104,22.89864022,2307.707582,0.220179233,22.18949598
A-035,S-CN-006,Hangzhou,China,5,50,8.862775275,407.23078,0.177255506,8.144615601
A-036,S-CN-006,Hangzhou,China,5,0,0,0,0.007852547,10.23647097
A-039,S-CN-006,Hangzhou,China,5,0,0,0,0.005639713,1.197920009
A-040,S-CN-006,Hangzhou,China,5,0,0,0,0.045397931,11.8601272
B-006,S-CN-007,Suzhou,China,5,734,28.51541726,4797.725895,0.038849342,6.536411301
B-010,S-CN-007,Suzhou,China,5,1447,64.48112227,13606.66479,0.044561937,9.403361986
B-034,S-CN-007,Suzhou,China,5,14,0.823366459,273.2154486,0.05881189,19.51538918
B-007,S-CN-008,Guangzhou,China,5,413,7.373929931,1626.022736,0.017854552,3.937101056
B-008,S-CN-008,Guangzhou,China,5,94,2.799495598,466.6282401,0.029781868,4.964130214
B-009,S-CN-008,Guangzhou,China,5,2261,200.6174039,10910.97377,0.088729502,4.825729222
B-013,S-CN-008,Guangzhou,China,5,251,6.884147489,1753.321714,0.027426882,6.985345472
B-001,S-CN-009,Taicang,China,5,113,2.441705331,421.534223,0.021608012,3.730391354
B-002,S-CN-009,Taicang,China,5,462,23.59232263,7322.869634,0.051065633,15.85036717
B-015,S-CN-009,Taicang,China,5,76,1.215564653,229.6869582,0.015994272,3.022196819
B-028,S-CN-009,Taicang,China,5,29,3.431290937,783.7536403,0.118320377,27.02598759
B-035,S-CN-009,Taicang,China,5,2,0.018252905,1.746917254,0.009126452,0.873458627
B-036,S-CN-009,Taicang,China,5,11,1.408454511,201.9838356,0.128041319,18.36216687
B-043,S-CN-009,Taicang,China,5,0,0,0,0.015391927,3.386575034
B-012,S-CN-010,Wuxi,China,5,2060,166.077146,24996.23002,0.080619974,12.13409224
B-014,S-CN-010,Wuxi,China,5,507,71.01019261,11572.13733,0.140059552,22.82472846
B-024,S-CN-010,Wuxi,China,5,653,28.68901964,1995.136086,0.04393418,3.055338569
B-027,S-CN-010,Wuxi,China,5,33,6.421452554,3843.51912,0.194589471,116.4702764
A-004,S-DE-001,Mainz,Germany,12,7495,39.82296633,12330.31781,0.005313271,1.645139134
A-012,S-DE-002,Stuttgart,Germany,12,107522,300.011524,99292.86019,0.002790234,0.923465525
A-013,S-DE-002,Stuttgart,Germany,12,1221,272.3643429,26417.093,0.22306662,21.6356208
A-014,S-DE-002,Stuttgart,Germany,12,7137,827.1329284,125133.0662,0.115893643,17.53300634
A-015,S-DE-002,Stuttgart,Germany,12,846,17.44553391,2665.94935,0.020621198,3.151240367
A-016,S-DE-002,Stuttgart,Germany,12,1719,350.9553806,48332.967,0.204162525,28.11690925
A-017,S-DE-002,Stuttgart,Germany,12,380,3.347589614,1222.024731,0.008809446,3.215854556
A-018,S-DE-002,Stuttgart,Germany,12,5,0.029015447,12.19771387,0.005803089,2.439542775
A-027,S-DE-003,Darmstadt,Germany,12,14869,1776.042812,369404.2725,0.119446016,24.84392175
A-032,S-DE-003,Darmstadt,Germany,12,1014,82.73112715,4683.546544,0.081588883,4.618882194
A-033,S-DE-003,Darmstadt,Germany,12,13,3.038616368,355.2011183,0.233739721,27.32316294
B-023,S-DE-004,Munich,Germany,12,1833,197.2741696,173973.4726,0.10762366,94.9118781
B-033,S-DE-004,Munich,Germany,12,27,35.27148998,8130.282367,1.306351481,301.1215692
B-039,S-DE-004,Munich,Germany,12,4,4.06078444,2775.135681,1.01519611,693.7839202
B-042,S-DE-004,Munich,Germany,12,4,2.403432296,1254.150116,0.600858074,313.5375289
B-019,S-DE-005,Frankfurt,Germany,12,1883,40.20683847,11002.36107,0.021352543,5.842995786
B-020,S-DE-005,Frankfurt,Germany,12,5083,155.5808447,42605.46538,0.030608075,8.381952661
B-021,S-DE-005,Frankfurt,Germany,12,397,163.6000008,16508.831,0.412090682,41.58395717
B-022,S-DE-005,Frankfurt,Germany,12,4887,61.83086388,25045.63144,0.01265211,5.124950161
B-029,S-DE-005,Frankfurt,Germany,12,49,34.59612827,4670.630325,0.706043434,95.31898623
B-032,S-DE-005,Frankfurt,Germany,12,14,0.487487234,152.1103938,0.034820517,10.86502813
B-037,S-DE-005,Frankfurt,Germany,12,1,0.164291842,65.69522408,0.164291842,65.69522408
B-041,S-DE-005,Frankfurt,Germany,12,0,0,0,0.05018866,11.424678
B-018,S-DE-006,Nuremberg,Germany,12,1619,171.6351444,157261.217,0.10601306,97.13478506
A-008,S-MY-001,Penang,Malaysia,6,2564,19.60532236,1189.619061,0.007646382,0.463969993
A-009,S-MY-001,Penang,Malaysia,6,1839,27.95741931,6576.756537,0.015202512,3.576267829
A-010,S-MY-001,Penang,Malaysia,6,34,6.303070924,1262.999803,0.185384439,37.14705303
A-011,S-MY-001,Penang,Malaysia,6,20,0.072798487,34.28086899,0.003639924,1.714043449
A-034,S-MY-001,Penang,Malaysia,6,20,0.000261735,0.047112386,1.30868E-05,0.002355619
A-019,S-MY-002,Kulim,Malaysia,6,3373,1265.581066,170476.7248,0.375209329,50.54157271
A-020,S-MY-002,Kulim,Malaysia,6,1062,77.47853916,10508.71312,0.07295531,9.895210095
A-021,S-MY-002,Kulim,Malaysia,6,607,256.0309833,30816.57254,0.421797337,50.76865327
A-022,S-MY-002,Kulim,Malaysia,6,134,29.90901576,3242.141243,0.22320161,24.19508391
A-029,S-MY-002,Kulim,Malaysia,6,3402,681.9228139,120089.0727,0.200447623,35.29955106
B-011,S-MY-003,Kuala Lumpur,Malaysia,6,2684,197.9820995,180406.3243,0.073763822,67.21547105
B-025,S-MY-003,Kuala Lumpur,Malaysia,6,16,4.041770554,4741.236999,0.25261066,296.3273125
B-016,S-MY-004,Penang,Malaysia,6,901,17.07730272,8828.985132,0.018953721,9.799095597
B-017,S-MY-004,Penang,Malaysia,6,1180,16.50397717,9935.158182,0.013986421,8.419625578
B-030,S-MY-004,Penang,Malaysia,6,45,0.117542548,7.119737846,0.002612057,0.158216397
A-023,S-US-001,San Diego,USA,6,1140,68.24977542,10595.87467,0.059868224,9.294626906
A-024,S-US-001,San Diego,USA,6,2,0.014177409,1.320554067,0.007088705,0.660277034
